id,event_body
0, new_user_check
1,task creation
2,timer started
3,timer finished
4,sort by column
5,hide column
6,selected
7,questionnaire started
8,question answered
9,placeholder1
10,placeholder2
11,placeholder3
12,placeholder4
13,task finish
